company,location,industry,total_laid_off,percentage_laid_off,date,stage,country,funds_raised_millions
Techify,Bangalore,Tech,200,10,15-01-2023,Series B,India,50
EduSmart,Hyderabad,EdTech,100,5,13-01-2023,series A,India,10
RetailHub,Chennai,Retail,300,25,05-04-2023,Series D,India,200
GreenEnergy,Bangalore,Energy,120,12,25-06-2023,Series A,India,80
Foodies,Delhi,Food,90,8,30-07-2023,Series B,India,60
QuickShop,Mumbai,Retail,250,30,10-09-2023,Series B,India,90
InnoTech,Hyderabad,Tech,180,15,05-10-2023,Series A,India,70
FinCorp,Mumbai,Finance,220,15,20-02-2023,Series C,India,100
SkyHigh,Pune,Aviation,140,10,11-11-2023,Series B,India,110
TravelGo,Delhi,Travel,130,12,01-12-2023,Series A,India,95
AutoDrive,Pune,Automobile,170,20,18-05-2023,Series B,India,150
